order_no,user_id,password,gender,age,cheese_name,cheese_texture,cheese_category,buy_count,total_price
47,3183397,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
49,2973972,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
51,1264114,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
52,6015294,1,F,50,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
53,5115618,1,F,30,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
57,5843043,1,M,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
58,2860104,1,F,50,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
63,5058880,1,M,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
66,3193829,1,M,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
67,4445493,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,2,11800
68,1482759,1,F,50,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
70,3710295,1,M,30,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
74,3801882,1,F,30,미국 전통 치즈 5종,세미하드,체다,10,49000
78,1985410,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
80,4162068,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
82,1069308,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
84,1422321,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
87,797287,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
88,5793502,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
89,5513808,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
91,3912631,1,F,50,미국 전통 치즈 5종,세미하드,체다,2,9800
95,6262111,1,F,50,미국 전통 치즈 5종,세미하드,체다,6,29400
96,1546678,1,F,30,미국 전통 치즈 5종,세미하드,체다,6,29400
101,5331560,1,F,40,미국 전통 치즈 5종,세미하드,체다,1,4900
102,4675171,1,F,30,미국 전통 치즈 5종,세미하드,체다,2,9800
103,192263,1,F,40,미국 전통 치즈 5종,세미하드,체다,5,24500
104,5463460,1,M,60,미국 전통 치즈 5종,세미하드,체다,5,24500
106,2156621,1,M,60,미국 전통 치즈 5종,세미하드,체다,2,9800
107,2695695,1,F,40,미국 전통 치즈 5종,세미하드,체다,2,9800
109,753829,1,M,60,미국 전통 치즈 5종,세미하드,체다,2,9800
110,1870172,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
112,4665716,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
113,273992,1,F,30,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
124,5557287,1,F,30,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
126,5782272,1,F,40,락토스프리 모짜렐라,후레쉬치즈,모짜렐라,2,11400
127,6122634,1,F,40,락토스프리 모짜렐라,후레쉬치즈,모짜렐라,1,5700
128,6488971,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
129,149977,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,2,11000
131,2495184,1,F,30,모짜렐라,후레쉬치즈,모짜렐라,1,5500
135,3166608,1,F,30,모짜렐라,후레쉬치즈,모짜렐라,1,5500
136,568519,1,F,30,모짜렐라,후레쉬치즈,모짜렐라,2,11000
137,4742690,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
138,672444,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7400
140,2170592,1,M,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7400
141,5213754,1,F,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,4,29600
145,4054951,1,F,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7400
147,947652,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7400
148,3943654,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
150,5651871,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
155,3350826,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
156,2069074,1,F,40,모짜렐라,후레쉬치즈,모짜렐라,1,5500
157,2366211,1,M,40,푸름 당베르,연성치즈,블루치즈,1,12500
185,3514529,1,F,40,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
187,4372748,1,F,50,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
188,4330246,1,F,40,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
189,5607521,1,M,50,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
190,916547,1,F,40,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
192,3563912,1,F,40,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1,5900
193,4721795,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
197,1013112,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
199,5104669,1,F,40,리코타 치즈,후레쉬치즈,리코타,2,23800
202,3659610,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
205,4667056,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,11900
207,3967926,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
208,6148558,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
209,5021418,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
211,3584777,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
212,6303060,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
213,2335100,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
215,5385072,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
217,3725304,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,11900
218,6491007,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
219,5181261,1,F,50,리코타 치즈,후레쉬치즈,리코타,1,11900
220,5188441,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
221,1938002,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
224,408429,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
225,876827,1,M,40,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,6900
227,2356747,1,F,50,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,6900
233,1592091,1,M,70,보코치니,후레쉬치즈,모짜렐라,1,6800
235,1461569,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
236,2769897,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
237,3497202,1,M,50,부라타 치즈,후레쉬치즈,부라타,1,7900
238,326722,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
240,4328672,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
247,637820,1,M,50,덴마크 까망베르 치즈,소프트치즈,까망베르,6,24990
256,6510366,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
257,85181,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
259,4556260,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
260,5772589,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,4,16660
261,3557586,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
262,3235405,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
263,4135146,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
271,3618819,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
273,4335375,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
274,3717363,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
276,1618727,1,M,20,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
278,5696651,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
279,2101662,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
282,5552318,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
285,6566995,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
287,5541904,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
291,2386246,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
294,2343245,1,F,70,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
297,4522264,1,F,20,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
298,5437378,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
303,3476070,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
306,266499,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
309,5368209,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
310,3028455,1,M,20,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
312,3938146,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
313,4873563,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
314,1954590,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
315,3018806,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
316,1966203,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
317,5229860,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,20,83300
318,1886451,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
320,2518252,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
321,6063954,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
328,4024794,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
329,948209,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
330,5241814,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
332,5636212,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
334,5786423,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
335,1629464,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
339,6478326,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,4,16660
340,4237092,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
349,2905562,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
351,3226808,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
352,1423558,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
354,5314079,1,F,60,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
356,1318884,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
359,59808,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
360,653254,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
361,3452734,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
362,6142231,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
364,690800,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
366,4585112,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
367,12105,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
368,6279983,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
370,287282,1,M,60,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
373,5317913,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
374,900201,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
375,2985134,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
376,2288358,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
379,4973369,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
383,1234046,1,F,20,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
384,4963244,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
396,6165305,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
397,1816479,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
404,1739789,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,6,24990
405,529740,1,F,20,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
406,3523095,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
408,6330083,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
413,6093041,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
415,3250487,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
416,3593845,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
417,5995812,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
419,632295,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
420,2411922,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
421,6259587,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
423,2274823,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
424,344834,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,3,12495
426,6235042,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
427,1113939,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,4,16660
428,828357,1,F,20,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
429,4863441,1,F,50,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
430,4836294,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
434,1339476,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
435,6525925,1,M,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
436,5781467,1,F,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
437,2163982,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
443,5451910,1,F,30,덴마크 까망베르 치즈,소프트치즈,까망베르,2,8330
444,3854751,1,M,40,덴마크 까망베르 치즈,소프트치즈,까망베르,1,4165
445,2263626,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
446,2007946,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
447,5341215,1,M,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
449,1333622,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
450,6424938,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
453,208108,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
454,429070,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
459,4919299,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
460,1187813,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
462,6086844,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
465,356278,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
467,3290130,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
468,5123757,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
469,5409621,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
470,6218165,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
471,4668818,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
472,6048148,1,M,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
474,1715065,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,3,19200
475,5261539,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
479,1975218,1,F,20,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
480,907926,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,4,25600
481,1509950,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
482,673596,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
483,2802572,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
487,3459511,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
488,5261672,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
489,2499264,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,2,12800
490,5757456,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
491,5911097,1,F,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
493,6014305,1,F,50,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
494,2363834,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,4,25600
495,4173643,1,M,40,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,1,6400
496,4921305,1,F,30,바이에른탈러 에멘탈 치즈,하드치즈,에멘탈,3,19200
497,1548080,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
500,4438218,1,F,30,미국 전통 치즈 5종,세미하드,체다,2,9800
502,2346443,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
504,5947684,1,F,40,미국 전통 치즈 5종,세미하드,체다,3,14700
507,1294147,1,F,30,미국 전통 치즈 5종,세미하드,체다,1,4900
508,716621,1,F,50,캄보졸라 치즈,소프트치즈,블루치즈,1,6400
510,4887937,1,F,40,캄보졸라 치즈,소프트치즈,블루치즈,1,6400
511,2753953,1,F,40,캄보졸라 치즈,소프트치즈,블루치즈,1,6400
513,4650540,1,M,20,캄보졸라 치즈,소프트치즈,블루치즈,1,6400
517,2994063,1,F,30,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
518,2171399,1,F,30,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
519,194812,1,F,30,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
522,76110,1,F,40,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,9600
528,5972747,1,M,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,9,86400
529,1684456,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,3,22200
532,5894961,1,M,50,캄보졸라 치즈,소프트치즈,블루치즈,1,6400
533,2654688,1,F,40,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
534,146199,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
535,2545621,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,11900
538,5774814,1,F,40,만체고 치즈 12개월,하드치즈,만체고,1,9700
539,1486884,1,F,30,만체고 치즈 12개월,하드치즈,만체고,1,9700
540,3134515,1,F,30,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
541,6163606,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
542,4654312,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
543,4446225,1,F,50,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
544,5142281,1,F,60,모짜렐라 로그,후레쉬치즈,모짜렐라,3,47700
546,5883780,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
547,201470,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
549,3175116,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
552,6465246,1,F,60,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
554,5053729,1,M,30,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
555,521169,1,F,30,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
556,2666440,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
557,1539294,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
558,1966831,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
559,1037022,1,F,30,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
560,2594530,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
561,2762577,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
577,215338,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
585,5989174,1,F,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
588,225205,1,M,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
592,4341188,1,M,30,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,10,79000
594,6139984,1,F,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,2,15800
596,567937,1,F,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1,7900
598,6323260,1,F,40,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,4,31600
599,5522479,1,F,30,리코타,후레쉬치즈,리코타,1,6860
601,540713,1,F,30,리코타,후레쉬치즈,리코타,1,6860
603,5389597,1,F,20,리코타,후레쉬치즈,리코타,2,13720
604,2964972,1,F,40,리코타,후레쉬치즈,리코타,1,6860
605,6077648,1,F,30,리코타,후레쉬치즈,리코타,1,6860
606,6180394,1,M,40,리코타,후레쉬치즈,리코타,1,6860
608,5787255,1,F,40,리코타,후레쉬치즈,리코타,2,13720
610,3680984,1,F,40,리코타,후레쉬치즈,리코타,3,20580
611,5963473,1,F,30,리코타,후레쉬치즈,리코타,1,6860
612,5912784,1,F,40,리코타,후레쉬치즈,리코타,1,6860
613,1514531,1,F,50,리코타,후레쉬치즈,리코타,1,6860
614,3390002,1,F,30,리코타,후레쉬치즈,리코타,1,6860
615,919734,1,M,30,리코타,후레쉬치즈,리코타,2,13720
616,3021328,1,F,40,리코타,후레쉬치즈,리코타,2,13720
617,2113138,1,F,30,리코타,후레쉬치즈,리코타,1,6860
618,3861721,1,F,30,리코타,후레쉬치즈,리코타,1,6860
619,6008220,1,F,30,리코타,후레쉬치즈,리코타,1,6860
620,1025499,1,F,30,리코타,후레쉬치즈,리코타,1,6860
621,4248256,1,F,30,리코타,후레쉬치즈,리코타,1,6860
622,2670953,1,F,30,리코타,후레쉬치즈,리코타,1,6860
623,5987916,1,F,50,리코타,후레쉬치즈,리코타,1,6860
625,6554504,1,M,40,리코타,후레쉬치즈,리코타,1,6860
626,2907636,1,F,30,리코타,후레쉬치즈,리코타,1,6860
628,4800547,1,F,40,리코타,후레쉬치즈,리코타,1,6860
629,341677,1,F,40,리코타,후레쉬치즈,리코타,1,6860
630,2729797,1,F,30,리코타,후레쉬치즈,리코타,1,6860
631,6228735,1,M,30,리코타,후레쉬치즈,리코타,1,6860
632,6161098,1,F,20,리코타,후레쉬치즈,리코타,2,13720
633,6426816,1,F,30,리코타,후레쉬치즈,리코타,1,6860
634,459404,1,F,40,리코타,후레쉬치즈,리코타,2,13720
635,860280,1,F,50,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,6900
644,4894397,1,F,40,모짜렐라 로그,후레쉬치즈,모짜렐라,1,15900
645,5809613,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600
647,6490236,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600
648,3028292,1,F,50,리코타 치즈,후레쉬치즈,리코타,1,4600
649,4836864,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,4600
650,6295098,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,4600
651,5771252,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600
652,2921086,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,4600
653,4624850,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600
654,4587315,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
655,4561152,1,F,50,리코타 치즈,후레쉬치즈,리코타,1,11900
656,3928213,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
658,3767886,1,F,50,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
659,6160699,1,F,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
660,3794457,1,F,50,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
661,4469725,1,F,40,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
664,4507897,1,F,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
667,1373318,1,F,50,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
668,3185146,1,F,20,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
669,457047,1,F,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
670,2490856,1,F,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
671,4582780,1,F,20,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
673,3068850,1,M,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,15,133500
674,2810091,1,F,30,버팔로 모짜렐라,후레쉬치즈,모짜렐라,2,17800
675,2987565,1,F,20,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1,8900
