order_no,user_id,password,gender,age,cheese_name,cheese_texture,cheese_category,buy_count,total_price,user_no,name_no,name
,,,,,,,,,,,76.0,변모훈
,,,,,,,,,,,77.0,반인삼
78.0,1985410.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,78.0,78.0,성다언
,,,,,,,,,,,79.0,편훔잎
80.0,4162068.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,1.0,4900.0,80.0,80.0,변명삼
,,,,,,,,,,,81.0,염경광
82.0,1069308.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,82.0,82.0,여월솔
,,,,,,,,,,,83.0,허강규
84.0,1422321.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,84.0,84.0,공택담
,,,,,,,,,,,85.0,설복견
,,,,,,,,,,,86.0,제반희
87.0,797287.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,87.0,87.0,기웅근
88.0,5793502.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,1.0,4900.0,88.0,88.0,류개치
89.0,5513808.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,89.0,89.0,문일일
,,,,,,,,,,,90.0,마용섭
91.0,3912631.0,1.0,F,50.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,91.0,91.0,오창견
,,,,,,,,,,,92.0,남장흥
,,,,,,,,,,,93.0,강술무
,,,,,,,,,,,94.0,변순장
95.0,6262111.0,1.0,F,50.0,미국 전통 치즈 5종,세미하드,체다,6.0,29400.0,95.0,95.0,손철디
96.0,1546678.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,6.0,29400.0,96.0,96.0,이백엄
,,,,,,,,,,,97.0,노롱훈
,,,,,,,,,,,98.0,지유라
,,,,,,,,,,,99.0,조별노
,,,,,,,,,,,100.0,장모슬
101.0,5331560.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,1.0,4900.0,101.0,101.0,강중선
102.0,4675171.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,102.0,102.0,최흠강
103.0,192263.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,5.0,24500.0,103.0,103.0,신다동
104.0,5463460.0,1.0,M,60.0,미국 전통 치즈 5종,세미하드,체다,5.0,24500.0,104.0,104.0,류랑으
,,,,,,,,,,,105.0,박악변
106.0,2156621.0,1.0,M,60.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,106.0,106.0,류훔빈
107.0,2695695.0,1.0,F,40.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,107.0,107.0,기채미
,,,,,,,,,,,108.0,설오모
109.0,753829.0,1.0,M,60.0,미국 전통 치즈 5종,세미하드,체다,2.0,9800.0,109.0,109.0,전섭두
110.0,1870172.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,1.0,4900.0,110.0,110.0,오희주
,,,,,,,,,,,111.0,변사송
112.0,4665716.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,1.0,4900.0,112.0,112.0,민고사
113.0,273992.0,1.0,F,30.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,113.0,113.0,양정묵
,,,,,,,,,,,114.0,표량마
,,,,,,,,,,,115.0,문비택
,,,,,,,,,,,116.0,장환늘
,,,,,,,,,,,117.0,염온열
,,,,,,,,,,,118.0,길바흔
,,,,,,,,,,,119.0,한잔다
,,,,,,,,,,,120.0,설희반
,,,,,,,,,,,121.0,최들복
,,,,,,,,,,,122.0,구출헌
,,,,,,,,,,,123.0,진사심
124.0,5557287.0,1.0,F,30.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,124.0,124.0,진악조
,,,,,,,,,,,125.0,유공찬
126.0,5782272.0,1.0,F,40.0,락토스프리 모짜렐라,후레쉬치즈,모짜렐라,2.0,11400.0,126.0,126.0,금강판
127.0,6122634.0,1.0,F,40.0,락토스프리 모짜렐라,후레쉬치즈,모짜렐라,1.0,5700.0,127.0,127.0,성새을
128.0,6488971.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,128.0,128.0,권가잔
129.0,149977.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,2.0,11000.0,129.0,129.0,배웅송
,,,,,,,,,,,130.0,공달번
131.0,2495184.0,1.0,F,30.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,131.0,131.0,은복출
,,,,,,,,,,,132.0,양추장
,,,,,,,,,,,133.0,신준현
,,,,,,,,,,,134.0,노치희
135.0,3166608.0,1.0,F,30.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,135.0,135.0,인판요
136.0,568519.0,1.0,F,30.0,모짜렐라,후레쉬치즈,모짜렐라,2.0,11000.0,136.0,136.0,도평소
137.0,4742690.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,137.0,137.0,공두장
138.0,672444.0,1.0,F,30.0,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1.0,7400.0,138.0,138.0,지훈보
,,,,,,,,,,,139.0,백얀효
140.0,2170592.0,1.0,M,40.0,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1.0,7400.0,140.0,140.0,노만가
141.0,5213754.0,1.0,F,40.0,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,4.0,29600.0,141.0,141.0,현치비
,,,,,,,,,,,142.0,양창범
,,,,,,,,,,,143.0,탁환추
,,,,,,,,,,,144.0,황공루
145.0,4054951.0,1.0,F,40.0,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1.0,7400.0,145.0,145.0,선창담
,,,,,,,,,,,146.0,손예담
147.0,947652.0,1.0,F,30.0,파르미지아노 레지아노,하드치즈,파르미지아노 레지아노,1.0,7400.0,147.0,147.0,함학시
148.0,3943654.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,148.0,148.0,유이기
,,,,,,,,,,,149.0,구헌산
150.0,5651871.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,150.0,150.0,표홍훔
,,,,,,,,,,,151.0,진남호
,,,,,,,,,,,152.0,정욱실
,,,,,,,,,,,153.0,기추세
,,,,,,,,,,,154.0,염린주
155.0,3350826.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,155.0,155.0,문겸예
156.0,2069074.0,1.0,F,40.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,156.0,156.0,정나박
157.0,2366211.0,1.0,M,40.0,푸름 당베르,연성치즈,블루치즈,1.0,12500.0,157.0,157.0,구치령
,,,,,,,,,,,158.0,서유림
,,,,,,,,,,,159.0,함여슬
,,,,,,,,,,,160.0,어휘리
,,,,,,,,,,,161.0,어변일
,,,,,,,,,,,162.0,조으익
,,,,,,,,,,,163.0,신초판
,,,,,,,,,,,164.0,어누모
,,,,,,,,,,,165.0,염달효
,,,,,,,,,,,166.0,탁자걸
,,,,,,,,,,,167.0,채세해
,,,,,,,,,,,168.0,장래은
,,,,,,,,,,,169.0,소의자
,,,,,,,,,,,170.0,유술공
,,,,,,,,,,,171.0,이탐휘
,,,,,,,,,,,172.0,방수출
,,,,,,,,,,,173.0,채달항
,,,,,,,,,,,174.0,임늬효
,,,,,,,,,,,175.0,전루오
,,,,,,,,,,,176.0,제길오
,,,,,,,,,,,177.0,용자단
,,,,,,,,,,,178.0,조삼덕
,,,,,,,,,,,179.0,주걸흔
,,,,,,,,,,,180.0,주학보
,,,,,,,,,,,181.0,차섭잔
,,,,,,,,,,,182.0,홍설엄
,,,,,,,,,,,183.0,추련늬
,,,,,,,,,,,184.0,염타순
185.0,3514529.0,1.0,F,40.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,185.0,185.0,옥무유
,,,,,,,,,,,186.0,국태서
187.0,4372748.0,1.0,F,50.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,187.0,187.0,윤범잎
188.0,4330246.0,1.0,F,40.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,188.0,188.0,채혁란
189.0,5607521.0,1.0,M,50.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,189.0,189.0,곽래면
190.0,916547.0,1.0,F,40.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,190.0,190.0,탁련황
,,,,,,,,,,,191.0,유일민
192.0,3563912.0,1.0,F,40.0,뉴질랜드 체다 치즈 3종,세미하드치즈,체다,1.0,5900.0,192.0,192.0,표삼은
193.0,4721795.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,193.0,193.0,양디루
,,,,,,,,,,,194.0,석대람
,,,,,,,,,,,195.0,길아바
,,,,,,,,,,,196.0,심한보
197.0,1013112.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,197.0,197.0,탁재용
,,,,,,,,,,,198.0,송충안
199.0,5104669.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,2.0,23800.0,199.0,199.0,금호판
,,,,,,,,,,,200.0,천섭중
,,,,,,,,,,,201.0,구남만
202.0,3659610.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,202.0,202.0,전균광
,,,,,,,,,,,203.0,채환두
,,,,,,,,,,,204.0,하균세
205.0,4667056.0,1.0,M,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,205.0,205.0,신삼려
,,,,,,,,,,,206.0,마황문
207.0,3967926.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,207.0,207.0,서비빈
208.0,6148558.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,208.0,208.0,방별주
209.0,5021418.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,209.0,209.0,노위철
,,,,,,,,,,,210.0,강곤황
211.0,3584777.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,211.0,211.0,문들훈
212.0,6303060.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,212.0,212.0,마신라
213.0,2335100.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,213.0,213.0,전창겸
,,,,,,,,,,,214.0,윤늬들
215.0,5385072.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,215.0,215.0,민걸율
,,,,,,,,,,,216.0,유견번
217.0,3725304.0,1.0,M,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,217.0,217.0,백흔건
218.0,6491007.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,218.0,218.0,위얀남
219.0,5181261.0,1.0,F,50.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,219.0,219.0,염설평
220.0,5188441.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,220.0,220.0,이환철
221.0,1938002.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,221.0,221.0,우대아
,,,,,,,,,,,222.0,엄산담
,,,,,,,,,,,223.0,송혜동
224.0,408429.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,224.0,224.0,염봉위
225.0,876827.0,1.0,M,40.0,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1.0,6900.0,225.0,225.0,김디형
,,,,,,,,,,,226.0,추지초
227.0,2356747.0,1.0,F,50.0,버팔로 모짜렐라,후레쉬치즈,모짜렐라,1.0,6900.0,227.0,227.0,유익유
,,,,,,,,,,,228.0,윤기주
,,,,,,,,,,,229.0,명공흔
,,,,,,,,,,,230.0,곽정시
,,,,,,,,,,,231.0,최고술
,,,,,,,,,,,232.0,함신혁
233.0,1592091.0,1.0,M,70.0,보코치니,후레쉬치즈,모짜렐라,1.0,6800.0,233.0,233.0,연숙묵
,,,,,,,,,,,234.0,주솔이
235.0,1461569.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,235.0,235.0,방바섬
236.0,2769897.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,236.0,236.0,선견은
237.0,3497202.0,1.0,M,50.0,부라타 치즈,후레쉬치즈,부라타,1.0,7900.0,237.0,237.0,정운채
238.0,326722.0,1.0,M,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,238.0,238.0,장학호
,,,,,,,,,,,239.0,인환묵
240.0,4328672.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,240.0,240.0,마인숙
,,,,,,,,,,,241.0,강랑송
,,,,,,,,,,,242.0,모언단
,,,,,,,,,,,243.0,허기창
,,,,,,,,,,,244.0,편탁휘
,,,,,,,,,,,245.0,위련기
,,,,,,,,,,,246.0,박순선
247.0,637820.0,1.0,M,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,6.0,24990.0,247.0,247.0,엄옥복
,,,,,,,,,,,248.0,이홍운
,,,,,,,,,,,249.0,진옥을
,,,,,,,,,,,250.0,노동한
,,,,,,,,,,,251.0,여채흥
,,,,,,,,,,,252.0,양윤근
,,,,,,,,,,,253.0,노부혁
,,,,,,,,,,,254.0,옥성두
,,,,,,,,,,,255.0,왕별탁
256.0,6510366.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,256.0,256.0,어수병
257.0,85181.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,257.0,257.0,변안나
,,,,,,,,,,,258.0,임월심
259.0,4556260.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,259.0,259.0,원탁애
260.0,5772589.0,1.0,M,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,4.0,16660.0,260.0,260.0,민누늬
261.0,3557586.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,261.0,261.0,설춘손
262.0,3235405.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,262.0,262.0,선누황
263.0,4135146.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,263.0,263.0,양람위
,,,,,,,,,,,264.0,안전나
,,,,,,,,,,,265.0,주혼범
,,,,,,,,,,,266.0,조리평
,,,,,,,,,,,267.0,양복곤
,,,,,,,,,,,268.0,정디시
,,,,,,,,,,,269.0,방식헌
,,,,,,,,,,,270.0,신경춘
271.0,3618819.0,1.0,M,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,271.0,271.0,장비장
,,,,,,,,,,,272.0,은술초
273.0,4335375.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,273.0,273.0,조실동
274.0,3717363.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,274.0,274.0,맹누월
,,,,,,,,,,,275.0,서담온
276.0,1618727.0,1.0,M,20.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,276.0,276.0,육심요
,,,,,,,,,,,277.0,채시란
278.0,5696651.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,278.0,278.0,주배중
279.0,2101662.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,279.0,279.0,소기휘
,,,,,,,,,,,280.0,양안아
,,,,,,,,,,,281.0,마원빈
282.0,5552318.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,282.0,282.0,방화잔
,,,,,,,,,,,283.0,방선탁
,,,,,,,,,,,284.0,연로송
285.0,6566995.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,2.0,8330.0,285.0,285.0,조술고
,,,,,,,,,,,286.0,옥초화
287.0,5541904.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,287.0,287.0,조대반
,,,,,,,,,,,288.0,허후이
,,,,,,,,,,,289.0,편면출
,,,,,,,,,,,290.0,진배치
291.0,2386246.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,291.0,291.0,반태강
,,,,,,,,,,,292.0,허형랑
,,,,,,,,,,,293.0,안현얀
294.0,2343245.0,1.0,F,70.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,294.0,294.0,편직면
,,,,,,,,,,,295.0,천부열
,,,,,,,,,,,296.0,배다미
297.0,4522264.0,1.0,F,20.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,297.0,297.0,진혜롱
298.0,5437378.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,298.0,298.0,함강개
,,,,,,,,,,,299.0,엄완슬
,,,,,,,,,,,300.0,주범준
,,,,,,,,,,,301.0,기반면
,,,,,,,,,,,302.0,제희웅
303.0,3476070.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,303.0,303.0,길세완
,,,,,,,,,,,304.0,함초령
,,,,,,,,,,,305.0,반로준
306.0,266499.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,306.0,306.0,박용해
,,,,,,,,,,,307.0,주원백
,,,,,,,,,,,308.0,변양만
309.0,5368209.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,309.0,309.0,함사걸
310.0,3028455.0,1.0,M,20.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,310.0,310.0,배악박
,,,,,,,,,,,311.0,안덕들
312.0,3938146.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,2.0,8330.0,312.0,312.0,박형태
313.0,4873563.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,313.0,313.0,조엄형
314.0,1954590.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,314.0,314.0,고위령
315.0,3018806.0,1.0,M,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,315.0,315.0,정노더
316.0,1966203.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,316.0,316.0,변경한
317.0,5229860.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,20.0,83300.0,317.0,317.0,김보번
318.0,1886451.0,1.0,M,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,2.0,8330.0,318.0,318.0,송후공
,,,,,,,,,,,319.0,천린미
320.0,2518252.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,320.0,320.0,편새항
321.0,6063954.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,321.0,321.0,문민재
,,,,,,,,,,,322.0,방령향
,,,,,,,,,,,323.0,임권동
,,,,,,,,,,,324.0,여담승
,,,,,,,,,,,325.0,육루위
,,,,,,,,,,,326.0,방만강
,,,,,,,,,,,327.0,길혁개
328.0,4024794.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,3.0,12495.0,328.0,328.0,김늘채
329.0,948209.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,329.0,329.0,장웅반
330.0,5241814.0,1.0,M,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,330.0,330.0,용설치
,,,,,,,,,,,331.0,유탐채
332.0,5636212.0,1.0,M,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,332.0,332.0,노홍지
,,,,,,,,,,,333.0,남리신
334.0,5786423.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,334.0,334.0,정건연
335.0,1629464.0,1.0,F,30.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,335.0,335.0,백잎남
,,,,,,,,,,,336.0,강익걸
,,,,,,,,,,,337.0,남사인
,,,,,,,,,,,338.0,염혼숭
339.0,6478326.0,1.0,F,40.0,덴마크 까망베르 치즈,소프트치즈,까망베르,4.0,16660.0,339.0,339.0,어곤광
340.0,4237092.0,1.0,F,50.0,덴마크 까망베르 치즈,소프트치즈,까망베르,1.0,4165.0,340.0,340.0,구형섬
,,,,,,,,,,,341.0,남직범
,,,,,,,,,,,342.0,유유중
,,,,,,,,,,,343.0,정누신
,,,,,,,,,,,344.0,최채엽
,,,,,,,,,,,345.0,오랑탁
,,,,,,,,,,,346.0,모다욱
,,,,,,,,,,,347.0,노삼기
,,,,,,,,,,,348.0,옥관애
